GEOID,AGE_GROUP,SEX,MORTALITY_RATE_100K
05,35-39,MALE,346.4
06,35-39,FEMALE,98.0
06,35-39,MALE,235.9
08,35-39,FEMALE,120.8
08,35-39,MALE,281.5
09,35-39,FEMALE,114.4
09,35-39,MALE,252.3
10,35-39,FEMALE,155.4
10,35-39,MALE,359.8
11,35-39,FEMALE,123.6
11,35-39,MALE,283.5
12,35-39,FEMALE,140.1
12,35-39,MALE,282.6
13,35-39,FEMALE,151.8
13,35-39,MALE,300.0
15,35-39,FEMALE,131.1
15,35-39,MALE,204.8
16,35-39,FEMALE,120.6
16,35-39,MALE,234.3
17,35-39,FEMALE,119.7
17,35-39,MALE,247.5
18,35-39,FEMALE,161.3
18,35-39,MALE,312.9
19,35-39,FEMALE,109.7
19,35-39,MALE,211.4
20,35-39,FEMALE,116.8
20,35-39,MALE,267.9
21,35-39,FEMALE,195.6
21,35-39,MALE,372.6
22,35-39,FEMALE,206.2
22,35-39,MALE,428.9
23,35-39,FEMALE,167.9
23,35-39,MALE,343.3
24,35-39,FEMALE,135.7
24,35-39,MALE,291.9
25,35-39,FEMALE,107.8
25,35-39,MALE,224.5
26,35-39,FEMALE,151.6
26,35-39,MALE,301.6
27,35-39,FEMALE,103.9
27,35-39,MALE,198.7
28,35-39,FEMALE,211.8
28,35-39,MALE,436.5
29,35-39,FEMALE,159.9
29,35-39,MALE,322.7
30,35-39,FEMALE,150.8
30,35-39,MALE,275.7
31,35-39,FEMALE,104.7
31,35-39,MALE,192.1
32,35-39,FEMALE,139.9
32,35-39,MALE,332.0
33,35-39,FEMALE,159.8
33,35-39,MALE,280.9
34,35-39,FEMALE,100.2
34,35-39,MALE,204.9
35,35-39,FEMALE,255.6
35,35-39,MALE,548.3
36,35-39,FEMALE,102.7
36,35-39,MALE,225.5
37,35-39,FEMALE,154.2
37,35-39,MALE,333.7
38,35-39,FEMALE,134.3
38,35-39,MALE,228.1
39,35-39,FEMALE,171.6
39,35-39,MALE,313.7
40,35-39,FEMALE,185.3
40,35-39,MALE,352.2
41,35-39,FEMALE,131.4
41,35-39,MALE,308.9
42,35-39,FEMALE,129.3
42,35-39,MALE,263.7
44,35-39,FEMALE,127.8
44,35-39,MALE,244.8
45,35-39,FEMALE,178.3
45,35-39,MALE,361.1
46,35-39,FEMALE,173.1
46,35-39,MALE,283.8
47,35-39,FEMALE,194.2
47,35-39,MALE,423.0
48,35-39,FEMALE,124.2
48,35-39,MALE,235.1
49,35-39,FEMALE,128.6
49,35-39,MALE,243.8
50,35-39,FEMALE,221.8
50,35-39,MALE,334.3
51,35-39,FEMALE,126.7
51,35-39,MALE,252.2
53,35-39,FEMALE,123.2
53,35-39,MALE,261.0
54,35-39,FEMALE,247.6
54,35-39,MALE,457.3
