ORIGIN_FIPS,DESTINATION_FIPS,AGE_GROUP,MIGRATION_RATE
01,17,65_TO_74,9.832535139322226e-05
01,17,75_AND_OVER,0.00012899256804357965
01,18,0_TO_4,3.3892101106916025e-05
01,18,18_TO_19,0.00011573359669156225
01,18,20_TO_24,3.4478399282849294e-05
01,18,25_TO_34,0.00013513687434844722
01,18,45_TO_54,1.6532105348586957e-05
01,18,55_TO_59,2.7577838449022366e-05
01,18,5_TO_17,4.642281657001355e-05
01,20,0_TO_4,6.439499210314044e-05
01,20,18_TO_19,7.715573112770817e-05
01,21,0_TO_4,5.761657188175724e-05
01,21,18_TO_19,0.00027776063205974937
01,21,20_TO_24,0.00023272919515923273
01,21,25_TO_34,0.0001206579235253993
01,21,35_TO_44,3.1177440660305374e-05
01,21,5_TO_17,3.054132669079839e-05
01,22,0_TO_4,0.00061344703003518
01,22,18_TO_19,0.0010030245046602061
01,22,20_TO_24,0.0005286687890036891
01,22,25_TO_34,0.0003796702660265898
01,22,35_TO_44,0.0002691105404363201
01,22,45_TO_54,9.017512008320157e-05
01,22,55_TO_59,6.128408544227193e-05
01,22,5_TO_17,2.198975521737484e-05
01,22,65_TO_74,3.117633092955828e-05
01,24,20_TO_24,0.0003677695923503925
01,24,25_TO_34,1.6087723136719908e-05
01,24,35_TO_44,1.8050097224387322e-05
01,24,45_TO_54,3.4567129365227274e-05
01,25,18_TO_19,6.944015801493734e-05
01,25,20_TO_24,8.619599820712324e-06
01,25,25_TO_34,7.078598180156758e-05
01,26,20_TO_24,5.1717598924273945e-05
01,26,25_TO_34,0.0002525772532465025
01,26,35_TO_44,5.415029167316197e-05
01,26,5_TO_17,0.00021623259297085258
01,28,0_TO_4,0.000315196540294319
01,28,18_TO_19,0.004220418492685636
01,28,20_TO_24,0.0013159255726287481
01,28,25_TO_34,0.0010891388563559377
01,28,35_TO_44,0.000438125087173765
01,28,45_TO_54,0.00047943105510902173
01,28,55_TO_59,0.00028803520157867803
01,28,5_TO_17,0.00042635692060354546
01,28,60_TO_64,0.00020518202336384156
01,28,65_TO_74,8.393627557957998e-05
01,28,75_AND_OVER,0.00010914755757533663
01,29,18_TO_19,0.000925868773532498
01,29,20_TO_24,1.7239199641424647e-05
01,29,25_TO_34,4.665439709648773e-05
01,29,5_TO_17,1.343818374395129e-05
01,32,0_TO_4,0.0001728497156452717
01,32,20_TO_24,0.0001465331969521095
01,32,25_TO_34,9.652633882031943e-05
01,32,35_TO_44,0.0002723923762952996
01,32,45_TO_54,0.00013977143612896244
01,32,5_TO_17,0.00011361373528977
01,32,65_TO_74,7.674173767275884e-05
01,32,75_AND_OVER,7.276503838355775e-05
01,35,20_TO_24,2.298559952189953e-05
01,35,35_TO_44,1.3127343435918052e-05
01,36,0_TO_4,0.0001626820853131969
01,36,18_TO_19,0.00034720079007468675
01,36,20_TO_24,0.0001522795968325844
01,36,25_TO_34,0.0003587562259488539
01,36,35_TO_44,9.353232198091613e-05
01,36,45_TO_54,7.5145933402667984e-06
01,36,55_TO_59,4.902726835381754e-05
01,36,5_TO_17,5.130942884054129e-05
01,37,0_TO_4,0.0006575067614741708
01,37,18_TO_19,0.0004166409480896241
01,37,20_TO_24,0.0006866947857167485
01,37,25_TO_34,0.0008429966923641231
01,37,35_TO_44,0.00014111894193611906
01,37,45_TO_54,0.0002645136855773913
01,37,55_TO_59,0.0001501460093335662
01,37,5_TO_17,0.00028220185862297707
01,37,75_AND_OVER,4.630502442590039e-05
01,39,20_TO_24,0.00015802599671305926
01,39,25_TO_34,1.4478950823047916e-05
01,39,45_TO_54,1.0520430676373517e-05
01,39,5_TO_17,9.773224541055484e-06
01,39,65_TO_74,0.0001223071444159594
01,40,20_TO_24,9.194239808759812e-05
