year,age,sex,immigration_status,migration_flow,number_of_people
2021,38,male,INA Nonimmigrant,immigration,2648.0
2021,38,male,LPR+,emigration,624.0
2021,38,male,LPR+,immigration,14132.0
2021,38,male,OFN,emigration,5151.0
2021,38,male,OFN,immigration,12613.0
2021,39,female,INA Nonimmigrant,emigration,522.0
2021,39,female,INA Nonimmigrant,immigration,1158.0
2021,39,female,LPR+,emigration,785.0
2021,39,female,LPR+,immigration,9179.0
2021,39,female,OFN,emigration,4023.0
2021,39,female,OFN,immigration,9159.0
2021,39,male,INA Nonimmigrant,emigration,705.0
2021,39,male,INA Nonimmigrant,immigration,2532.0
2021,39,male,LPR+,emigration,620.0
2021,39,male,LPR+,immigration,14052.0
2021,39,male,OFN,emigration,5121.0
2021,39,male,OFN,immigration,11810.0
2021,40,female,INA Nonimmigrant,emigration,590.0
2021,40,female,INA Nonimmigrant,immigration,1070.0
2021,40,female,LPR+,emigration,888.0
2021,40,female,LPR+,immigration,8927.0
2021,40,female,OFN,emigration,4551.0
2021,40,female,OFN,immigration,8514.0
2021,40,male,INA Nonimmigrant,emigration,807.0
2021,40,male,INA Nonimmigrant,immigration,2419.0
2021,40,male,LPR+,emigration,710.0
2021,40,male,LPR+,immigration,13791.0
2021,40,male,OFN,emigration,5861.0
2021,40,male,OFN,immigration,11055.0
2021,41,female,INA Nonimmigrant,emigration,498.0
2021,41,female,INA Nonimmigrant,immigration,992.0
2021,41,female,LPR+,emigration,749.0
2021,41,female,LPR+,immigration,8439.0
2021,41,female,OFN,emigration,3841.0
2021,41,female,OFN,immigration,7849.0
2021,41,male,INA Nonimmigrant,emigration,654.0
2021,41,male,INA Nonimmigrant,immigration,2309.0
2021,41,male,LPR+,emigration,576.0
2021,41,male,LPR+,immigration,13306.0
2021,41,male,OFN,emigration,4756.0
2021,41,male,OFN,immigration,10338.0
2021,42,female,INA Nonimmigrant,emigration,523.0
2021,42,female,INA Nonimmigrant,immigration,922.0
2021,42,female,LPR+,emigration,787.0
2021,42,female,LPR+,immigration,7680.0
2021,42,female,OFN,emigration,4035.0
2021,42,female,OFN,immigration,7231.0
2021,42,male,INA Nonimmigrant,emigration,670.0
2021,42,male,INA Nonimmigrant,immigration,2205.0
2021,42,male,LPR+,emigration,589.0
2021,42,male,LPR+,immigration,12569.0
2021,42,male,OFN,emigration,4868.0
2021,42,male,OFN,immigration,9610.0
2021,43,female,INA Nonimmigrant,emigration,510.0
2021,43,female,INA Nonimmigrant,immigration,862.0
2021,43,female,LPR+,emigration,766.0
2021,43,female,LPR+,immigration,6661.0
2021,43,female,OFN,emigration,3929.0
2021,43,female,OFN,immigration,6785.0
2021,43,male,INA Nonimmigrant,emigration,637.0
2021,43,male,INA Nonimmigrant,immigration,2109.0
2021,43,male,LPR+,emigration,561.0
2021,43,male,LPR+,immigration,11595.0
2021,43,male,OFN,emigration,4632.0
2021,43,male,OFN,immigration,8823.0
2021,44,female,INA Nonimmigrant,emigration,465.0
2021,44,female,INA Nonimmigrant,immigration,809.0
2021,44,female,LPR+,emigration,699.0
2021,44,female,LPR+,immigration,5450.0
2021,44,female,OFN,emigration,3585.0
2021,44,female,OFN,immigration,6442.0
2021,44,male,INA Nonimmigrant,emigration,616.0
2021,44,male,INA Nonimmigrant,immigration,2019.0
2021,44,male,LPR+,emigration,542.0
2021,44,male,LPR+,immigration,10450.0
2021,44,male,OFN,emigration,4475.0
2021,44,male,OFN,immigration,8114.0
2021,45,female,INA Nonimmigrant,emigration,205.0
2021,45,female,INA Nonimmigrant,immigration,762.0
2021,45,female,LPR+,emigration,522.0
2021,45,female,LPR+,immigration,4169.0
2021,45,female,OFN,emigration,2813.0
2021,45,female,OFN,immigration,6150.0
2021,45,male,INA Nonimmigrant,emigration,282.0
2021,45,male,INA Nonimmigrant,immigration,1934.0
2021,45,male,LPR+,emigration,778.0
2021,45,male,LPR+,immigration,9241.0
2021,45,male,OFN,emigration,3419.0
2021,45,male,OFN,immigration,7389.0
2021,46,female,INA Nonimmigrant,emigration,183.0
2021,46,female,INA Nonimmigrant,immigration,719.0
2021,46,female,LPR+,emigration,466.0
2021,46,female,LPR+,immigration,2959.0
2021,46,female,OFN,emigration,2509.0
2021,46,female,OFN,immigration,5932.0
2021,46,male,INA Nonimmigrant,emigration,231.0
2021,46,male,INA Nonimmigrant,immigration,1852.0
2021,46,male,LPR+,emigration,637.0
2021,46,male,LPR+,immigration,8091.0
2021,46,male,OFN,emigration,2802.0
2021,46,male,OFN,immigration,6796.0
2021,47,female,INA Nonimmigrant,emigration,204.0
2021,47,female,INA Nonimmigrant,immigration,677.0
2021,47,female,LPR+,emigration,520.0
2021,47,female,LPR+,immigration,1937.0
2021,47,female,OFN,emigration,2800.0
2021,47,female,OFN,immigration,5737.0
2021,47,male,INA Nonimmigrant,emigration,255.0
2021,47,male,INA Nonimmigrant,immigration,1770.0
2021,47,male,LPR+,emigration,702.0
2021,47,male,LPR+,immigration,7102.0
2021,47,male,OFN,emigration,3085.0
2021,47,male,OFN,immigration,6316.0
2021,48,female,INA Nonimmigrant,emigration,211.0
2021,48,female,INA Nonimmigrant,immigration,637.0
2021,48,female,LPR+,emigration,539.0
2021,48,female,LPR+,immigration,1169.0
2021,48,female,OFN,emigration,2901.0
2021,48,female,OFN,immigration,5515.0
2021,48,male,INA Nonimmigrant,emigration,277.0
2021,48,male,INA Nonimmigrant,immigration,1685.0
2021,48,male,LPR+,emigration,764.0
2021,48,male,LPR+,immigration,6330.0
2021,48,male,OFN,emigration,3361.0
2021,48,male,OFN,immigration,5796.0
2021,49,female,INA Nonimmigrant,emigration,213.0
2021,49,female,INA Nonimmigrant,immigration,597.0
2021,49,female,LPR+,emigration,542.0
2021,49,female,LPR+,immigration,658.0
2021,49,female,OFN,emigration,2922.0
2021,49,female,OFN,immigration,5307.0
2021,49,male,INA Nonimmigrant,emigration,278.0
2021,49,male,INA Nonimmigrant,immigration,1597.0
2021,49,male,LPR+,emigration,766.0
2021,49,male,LPR+,immigration,5785.0
2021,49,male,OFN,emigration,3366.0
2021,49,male,OFN,immigration,5310.0
2021,50,female,INA Nonimmigrant,emigration,204.0
2021,50,female,INA Nonimmigrant,immigration,557.0
2021,50,female,LPR+,emigration,520.0
2021,50,female,LPR+,immigration,366.0
2021,50,female,OFN,emigration,2802.0
2021,50,female,OFN,immigration,5065.0
2021,50,male,INA Nonimmigrant,emigration,288.0
2021,50,male,INA Nonimmigrant,immigration,1506.0
2021,50,male,LPR+,emigration,794.0
